,task_name,cam_type,epochs,demo_count,max_eplens,done_count,min_distance,final_distance,dataset_type,mbsize
130,ReachObs_Random,wrist,100,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4767241275573647,1.012874219500245,obs,64
131,ReachObs_Random,wrist,100,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.30489073477658274,0.42618532056327735,obs,100
132,ReachObs_Random,wrist,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4061257282195885,0.7120997428929845,obs,40
133,ReachObs_Random,wrist,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",1,0.4327055924832662,0.7350080005006843,obs,64
134,ReachObs_Random,wrist,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4353022501604579,0.7870673046089445,obs,100
135,ReachObs_Random,wrist,500,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.45405540977738984,0.6928962127781817,obs,40
136,ReachObs_Random,wrist,500,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.48509934982775327,0.7890717333391714,obs,64
137,ReachObs_Random,wrist,500,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.4248316783877727,0.7672966949510289,obs,100
138,ReachObs_Random,wrist,1000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.336435739342816,0.5623561547985602,obs,40
139,ReachObs_Random,wrist,1000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.36966766926285155,0.5416370884502222,obs,64
140,ReachObs_Random,wrist,1000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.44876762342250975,0.5336058615378293,obs,100
141,ReachObs_Random,wrist,2000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.371346874398379,0.726636322035497,obs,40
142,ReachObs_Random,wrist,2000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.37393010439000973,0.6477842979963631,obs,64
143,ReachObs_Random,wrist,2000,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.379139700811517,0.5683413723242197,obs,100
144,ReachObs_Random,l_shoulder,50,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.3305759081276581,0.39339250145600774,obs,40
145,ReachObs_Random,l_shoulder,50,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.6700958202366966,1.0787127830302592,obs,64
146,ReachObs_Random,l_shoulder,50,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",0,0.6274805146106541,0.8318321831473442,obs,100
147,ReachObs_Random,l_shoulder,100,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",5,0.3417155255469069,0.41577538015654925,obs,40
148,ReachObs_Random,l_shoulder,100,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",7,0.17677584239955396,0.2479421045184668,obs,64
149,ReachObs_Random,l_shoulder,100,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",3,0.34275119280330246,0.40094743991628706,obs,100
150,ReachObs_Random,l_shoulder,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",8,0.1593319226230077,0.2115417255284106,obs,40
151,ReachObs_Random,l_shoulder,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",2,0.35087143108903873,0.5386474978251671,obs,64
152,ReachObs_Random,l_shoulder,200,20,"[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]",7,0.11588099562392047,0.1283632559195762,obs,100
