,Unnamed: 0.1,Unnamed: 0,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance,agent
82,82.0,8,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0.0,0.0,0.2293304799854995,0.2222613701828598,0.2071149424693432,0.2138784506002249,
83,83.0,9,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.2286842911788933,0.220838068909995,0.2054675474844665,0.211737194666521,
84,84.0,11,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.2278637161304213,0.2201284590047089,0.2052374717016115,0.2118645355176299,
85,85.0,12,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,600,0.0,0.0,0.2320610352087144,0.2259105845648339,0.2107972066003092,0.2167537147265323,
86,86.0,13,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0.0,0.0,0.2349079625329941,0.228772182597247,0.2140381076479753,0.2205328343964546,
87,87.0,14,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.2312299386614974,0.2256588364311956,0.2104684332509963,0.2160259836296401,
88,88.0,16,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.235630272621376,0.2310321100296436,0.2167675577658978,0.2212355521921241,
89,89.0,17,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,l_shoulder+r_shoulder,800,0.0,0.0,0.2290385338631761,0.222166210874752,0.2068471903317434,0.213481142453162,
90,90.0,18,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0.0,0.0,0.268707186948175,0.1817272612496592,0.1675334257356372,0.2680087708339403,
91,91.0,19,3790,FuseConfig.W_D_L_R_ATTN,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.2271183648809568,0.2187230658335894,0.2027955556269607,0.2101860664820104,
